County,Year,ST,AGEP,FER,GCL,HINS1,JWMNP,JWRIP,JWTR,LANX,MAR,SCH,SCHG,SCHL,WAGP,WKHP,DIS,ESR,OC
Los Angeles County,2012,6,48,,2.0,1,25.0,1.0,1.0,1.0,1,1.0,,13.0,29500.0,40.0,2,1.0,0
Los Angeles County,2016,6,23,2.0,,2,,,,2.0,5,2.0,15.0,16.0,300.0,15.0,2,3.0,0
Los Angeles County,2016,6,27,2.0,,1,30.0,1.0,1.0,2.0,5,1.0,,21.0,25000.0,40.0,2,1.0,0
Los Angeles County,2015,6,15,,,1,,,,2.0,5,2.0,11.0,11.0,0.0,,2,,1
Los Angeles County,2016,6,13,,,1,,,,1.0,5,2.0,10.0,11.0,,,2,,1
Los Angeles County,2016,6,73,,2.0,1,17.0,1.0,1.0,2.0,1,1.0,,21.0,0.0,2.0,1,1.0,0
Los Angeles County,2016,6,7,,,1,,,,1.0,5,2.0,3.0,3.0,,,2,,1
Los Angeles County,2016,6,27,2.0,,1,30.0,2.0,1.0,1.0,1,1.0,,21.0,42000.0,40.0,2,1.0,0
Los Angeles County,2015,6,15,2.0,,1,,,,1.0,5,3.0,12.0,12.0,0.0,,2,,1
Los Angeles County,2015,6,38,,2.0,1,20.0,1.0,1.0,1.0,5,1.0,,22.0,76000.0,40.0,2,1.0,0
Los Angeles County,2013,6,64,,2.0,2,,,,1.0,3,1.0,,22.0,0.0,,2,6.0,0
Los Angeles County,2016,6,18,,,1,,,,1.0,5,2.0,13.0,13.0,0.0,,2,6.0,0
Los Angeles County,2014,6,68,,2.0,2,,,,1.0,1,1.0,,16.0,0.0,,2,6.0,0
Los Angeles County,2016,6,47,,2.0,1,60.0,2.0,1.0,1.0,1,1.0,,20.0,44000.0,40.0,2,1.0,0
Los Angeles County,2012,6,11,,,1,,,,2.0,5,3.0,9.0,9.0,,,2,,1
Los Angeles County,2013,6,63,,2.0,2,,,,2.0,3,1.0,,22.0,0.0,,2,6.0,0
Los Angeles County,2013,6,24,,,2,15.0,1.0,1.0,2.0,5,1.0,,20.0,24000.0,45.0,2,1.0,0
Los Angeles County,2015,6,85,,2.0,2,,,,1.0,1,1.0,,21.0,0.0,,2,6.0,0
Los Angeles County,2013,6,21,2.0,,2,4.0,1.0,1.0,2.0,5,2.0,15.0,19.0,500.0,5.0,2,1.0,0
Los Angeles County,2012,6,17,2.0,,2,,,,1.0,5,2.0,13.0,13.0,0.0,,2,6.0,0
Los Angeles County,2015,6,6,,,2,,,,2.0,5,2.0,2.0,3.0,,,2,,1
Los Angeles County,2016,6,17,,,1,,,,2.0,5,3.0,14.0,14.0,0.0,,2,6.0,1
Los Angeles County,2016,6,34,,2.0,2,60.0,4.0,1.0,1.0,1,1.0,,16.0,0.0,40.0,2,1.0,0
Los Angeles County,2014,6,32,2.0,2.0,1,10.0,,10.0,1.0,5,1.0,,22.0,72000.0,40.0,2,1.0,0
Los Angeles County,2014,6,69,,2.0,1,,,,2.0,3,1.0,,16.0,0.0,,2,6.0,0
