PUMA,Name,Region/City,,,,
101,Alameda County, (North)--Berkeley & Albany Cities PUMA,,,,
102,Alameda County, (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA,,,,
103,Alameda County, (Northeast)--Oakland (East) & Piedmont Cities PUMA,,,,
104,Alameda County, (North Central)--Oakland City (South Central) PUMA,,,,
105,Alameda County, (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA,,,
106,Alameda County, (North Central)--Castro Valley, San Lorenzo & Ashland PUMA,,,
107,Alameda County, (Central)--Hayward City PUMA,,,,
108,Alameda County, (Southwest)--Union City, Newark & Fremont (West) Cities PUMA,,,
109,Alameda County, (South Central)--Fremont City (East) PUMA,,,,
110,Alameda County, (East)--Livermore, Pleasanton & Dublin Cities PUMA,,,
300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties ", Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA
701,Butte County, (Northwest)--Chico City PUMA,,,,
702,Butte County, (Southeast)--Oroville City & Paradise Town PUMA,,,,
1100,"Colusa, Glenn, Tehama & Trinity Counties ", Glenn, Tehama & Trinity Counties PUMA,,,
1301,Contra Costa County, (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA,,,,
1302,Contra Costa County, (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA,,,
1303,Contra Costa County, (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA,,,
1304,Contra Costa County,Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA,,
1305,Contra Costa County, (South)--San Ramon City & Danville Town PUMA,,,,
1306,Contra Costa County, (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA,,,
1307,Contra Costa County, (North Central)--Pittsburg & Concord (North & East) Cities PUMA,,,,
1308,Contra Costa County, (Northeast)--Antioch City PUMA,,,,
1309,Contra Costa County, (East)--Brentwood & Oakley Cities PUMA,,,,
1500,Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA,,
1700,El Dorado County,El Dorado Hills PUMA,,,,
1901,Fresno County, (West)--Selma, Kerman & Coalinga Cities PUMA,,,
1902,Fresno County, (North Central)--Fresno City (North) PUMA,,,,
1903,Fresno County, (Central)--Fresno City (East Central) PUMA,,,,
1904,Fresno County, (Central)--Fresno City (Southwest) PUMA,,,,
1905,Fresno County, (Central)--Fresno City (Southeast) PUMA,,,,
1906,Fresno County, (Central)--Clovis City PUMA,,,,
1907,Fresno County, (East)--Sanger, Reedley & Parlier Cities PUMA,,,
2300,Humboldt County, PUMA,,,,
2500,Imperial County,El Centro City PUMA,,,,
2901,Kern County, (West)--Delano, Wasco & Shafter Cities PUMA,,,
2902,Kern County, (Central)--Bakersfield City (West) PUMA,,,,
2903,Kern County, (Central)--Bakersfield City (Northeast) PUMA,,,,
2904,Kern County, (Central)--Bakersfield City (Southeast) PUMA,,,,
2905,Kern County, (East)--Ridgecrest, Arvin, Tehachapi & California City Cities PUMA,,
3100,Kings County,Hanford City PUMA,,,,
3300,Lake & Mendocino Counties ,,,,,
3701,Los Angeles County, (North/Unincorporated)--Castaic PUMA,,,,
3702,Los Angeles County, (Northwest)--Santa Clarita City PUMA,,,,
3703,Los Angeles County, (North Central)--Lancaster City PUMA,,,,
3704,Los Angeles County, (North Central)--Palmdale City PUMA,,,,
3705,Los Angeles County, (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA,,,,
3706,Los Angeles County, (North)--LA City (North Central/Granada Hills & Sylmar) PUMA,,,,
3707,Los Angeles County,LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA,,,,
3708,Los Angeles County, (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA,,,
3709,Los Angeles County, (Central)--San Gabriel Valley Region (North) PUMA,,,,
3710,Los Angeles County,Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA,,
3711,Los Angeles County, (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA,,
3712,Los Angeles County, (East Central)--Pomona City PUMA,,,,
3713,Los Angeles County, (East Central)--Covina & Walnut Cities PUMA,,,,
3714,Los Angeles County,Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA,,,
3715,Los Angeles County, (East Central)--West Covina City PUMA,,,,
3716,Los Angeles County, (East Central)--La Puente & Industry Cities PUMA,,,,
3717,Los Angeles County, (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA,,,
3718,Los Angeles County, (Central)--Pasadena City PUMA,,,,
3719,Los Angeles County, (Central)--Glendale City PUMA,,,,
3720,Los Angeles County, (Central)--Burbank City PUMA,,,,
3721,Los Angeles County, (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA,,,,
3722,Los Angeles County, (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA,,,,
3723,Los Angeles County, (North)--LA City (North Central/Mission Hills & Panorama City) PUMA,,,,
3724,Los Angeles County, (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA,,,,
3725,Los Angeles County,LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA,,,
3726,Los Angeles County,C:CCalabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA,,
3727,Los Angeles County, (Central)--LA City (Central/Pacific Palisades) PUMA,,,,
3728,Los Angeles County, (Southwest)--Santa Monica City PUMA,,,,
3729,Los Angeles County, (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA,,,,
3730,Los Angeles County, (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA,,,,
3731,Los Angeles County, (Central)--West Hollywood & Beverly Hills Cities PUMA,,,,
3732,Los Angeles County, (Central)--LA City (East Central/Hollywood) PUMA,,,,
3733,Los Angeles County, (Central)--LA City (Central/Koreatown) PUMA,,,,
3734,Los Angeles County,LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA,,,
3735,Los Angeles County,LA City (Mount Washington, Highland Park & Glassell Park) PUMA,,,
3736,Los Angeles County, (Central)--Alhambra & South Pasadena Cities PUMA,,,,
3737,Los Angeles County, (Central)--Monterey Park & Rosemead Cities PUMA,,,,
3738,Los Angeles County, (Central)--El Monte & South El Monte Cities PUMA,,,,
3739,Los Angeles County, (Southeast)--Whittier City & Hacienda Heights PUMA,,,,
3740,Los Angeles County, (Central)--Pico Rivera & Montebello Cities PUMA,,,,
3741,Los Angeles County, (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA,
3742,Los Angeles County, (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA,,,
3743,Los Angeles County, (Central)--East Los Angeles PUMA,,,,
3744,Los Angeles County, (Central)--LA City (East Central/Central City & Boyle Heights) PUMA,,,,
3745,Los Angeles County, (Central)--LA City (Southeast/East Vernon) PUMA,,,,
3746,Los Angeles County,LA City (Central/Univ. of Southern California & Exposition Park) PUMA,,,,
3747,Los Angeles County, (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA,,,,
3748,Los Angeles County,LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA,,,,
3749,Los Angeles County, (Central)--Inglewood City PUMA,,,,
3750,Los Angeles County, (South Central)--LA City (South Central/Westmont) PUMA,,,,
3751,Los Angeles County, (South Central)--LA City (South Central/Watts) PUMA,,,,
3752,Los Angeles County, (South)--South Gate & Lynwood Cities PUMA,,,,
3753,Los Angeles County, (South)--Downey City PUMA,,,,
3754,Los Angeles County, (Southeast)--La Mirada & Santa Fe Springs Cities PUMA,,,,
3755,Los Angeles County, (Southeast)--Norwalk City PUMA,,,,
3756,Los Angeles County, (Southeast)--Bellflower & Paramount Cities PUMA,,,,
3757,Los Angeles County, (South Central)--Compton City & West Rancho Dominguez PUMA,,,,
3758,Los Angeles County, (South Central)--Gardena, Lawndale Cities & West Athens PUMA,,,
3759,Los Angeles County, (South Central)--Hawthorne City PUMA,,,,
3760,Los Angeles County,Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA,,,
3761,Los Angeles County, (South Central)--Torrance City PUMA,,,,
3762,Los Angeles County, (South Central)--Carson City PUMA,,,,
3763,Los Angeles County, (South Central)--Long Beach City (North) PUMA,,,,
3764,Los Angeles County, (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA,,
3765,Los Angeles County, (Southeast)--Long Beach City (East) PUMA,,,,
3766,Los Angeles County, (South)--Long Beach City (Southwest & Port) PUMA,,,,
3767,Los Angeles County, (South)--LA City (South/San Pedro) PUMA,,,,
3768,Los Angeles County, (Southwest)--Palos Verdes Peninsula PUMA,,,,
3769,Los Angeles County, (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA,,,,
3900,Madera County,Madera City PUMA,,,,
4101,Marin County, (North & West)--Novato & San Rafael (North) Cities PUMA,,,,
4102,Marin County, (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA,,,
4701,Merced County, (West & South)--Los Banos & Livingston Cities PUMA,,,,
4702,Merced County, (Northeast)--Merced & Atwater Cities PUMA,,,,
5301,Monterey County, (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA,,
5302,Monterey County, (Northeast)--Salinas City PUMA,,,,
5303,Monterey (South & East) & San Benito Counties ,,,,,
5500,Napa County,Napa City PUMA,,,,
5700,Nevada & Sierra Counties ,,,,,
5901,Orange County, (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA,,,
5902,Orange County, (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA,,,,
5903,Orange County, (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA,,,
5904,Orange County, (Central)--Irvine City (Central) PUMA,,,,
