County_name,State,crime_rate_per_100000,index,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,FIPS_CD
San Joaquin , CA,887.1644385,41,1,4,226,702670,702670,15,10,100,6249,29264,89,152,1992,4016,8019,16847,4398,158,704379,6,77,06077
Modoc , CA,754.3456871,71,1,4,212,9605,9605,4,4,100,69,152,1,12,3,53,58,90,4,5,9147,6,49,06049
Alameda , CA,753.6935735,72,1,4,188,1544062,1544062,26,22,100,11900,62130,153,477,6220,5050,13245,35841,13044,337,1578891,6,1,06001
Shasta , CA,725.2206951,82,1,4,232,179423,179423,8,6,100,1298,6280,7,97,165,1029,1754,3623,903,35,178980,6,89,06089
San Francisco , CA,701.4217104,91,1,4,225,820363,820363,12,7,100,5874,40038,69,110,3554,2141,5401,29256,5381,211,837442,6,75,06075
Merced , CA,696.3544912,93,1,4,211,262308,262308,13,11,100,1833,10091,23,54,331,1425,2686,6047,1358,83,263228,6,47,06047
Alpine , CA,690.2502157,99,1,4,189,1112,1112,2,2,100,8,43,0,3,0,5,18,20,5,0,1159,6,3,06003
Madera , CA,612.9051309,155,1,4,207,154343,154343,6,5,100,934,4017,2,35,139,758,1654,1715,648,11,152389,6,39,06039
Lake , CA,588.7879737,183,1,4,204,64919,64919,5,4,100,376,1925,3,33,60,280,766,958,201,25,63860,6,33,060033
Kern , CA,575.8432818,196,1,4,202,859608,859608,18,15,100,4976,34761,65,174,1313,3424,10931,17584,6246,589,864124,6,29,06029
Plumas , CA,572.6708733,198,1,4,219,19948,19948,4,3,100,108,437,0,15,1,92,143,271,23,0,18859,6,63,06063
Tehama , CA,561.3968314,213,1,4,239,64191,64191,5,5,100,354,1507,3,17,36,298,451,896,160,5,63057,6,103,06103
Sierra , CA,557.9258287,220,1,4,233,3142,3142,3,3,100,17,55,0,0,0,17,16,37,2,1,3047,6,91,06091
Del Norte , CA,556.0937108,224,1,4,195,28925,28925,3,3,100,155,687,1,22,24,108,288,283,116,6,27873,6,15,06015
Sacramento , CA,547.6937429,240,1,4,221,1449422,1449422,19,16,100,8008,48478,79,383,2560,4986,11383,28679,8416,244,1462131,6,67,06067
Stanislaus , CA,547.107372,242,1,4,237,523330,523330,16,13,100,2875,22061,38,129,788,1920,5551,12425,4085,117,525491,6,99,06099
Fresno , CA,534.2980847,255,1,4,197,951648,942367,24,20,100,5104,41853,76,170,1410,3448,10493,24451,6909,415,955272,6,19,06019
Kings , CA,508.081611,293,1,4,203,155191,155191,10,8,100,767,3440,4,55,106,602,813,2222,405,34,150960,6,31,06031
Tulare , CA,462.4094173,365,1,4,241,453419,453419,14,12,100,2100,15393,33,115,412,1540,4364,9194,1835,39,454143,6,107,06107
