,Business Name,Category,City,State,County,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
0,Alameda Hospital ,hospital, Alameda,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
1,Alta Bates Summit Medical Center ,hospital, Berkeley,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
2,Alta Bates Summit Medical Center ,hospital, Oakland,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
3,Ayesha Hospital,hospital,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
4,Children's Hospital Oakland ,hospital, Oakland,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
5,Eden Medical Center ,hospital, Castro Valley,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
6,Fairmont Hospital ,hospital, San Leandro,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
7,Highland Hospital ,hospital, Oakland,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
8,John George Psychiatric Pavilion ,hospital, San Leandro,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
9,Kaiser Fremont ,hospital, Fremont,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
10,Kaiser Livermore ,hospital, Livermore,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
11,Kaiser Oakland ,hospital, Oakland,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
12,Kaiser Permanente Medical Center ,hospital, Hayward,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
13,Kaiser Permanente Medical Center ,hospital, San Leandro,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
14,Kaiser Pleasanton ,hospital, Pleasanton,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
15,Kindred Hospital - San Francisco Bay Area ,hospital, San Leandro[1],CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
16,Livermore VA Hospital ,hospital, Livermore,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
17,St. Rose Hospital ,hospital, Hayward,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
18,San Leandro Hospital ,hospital, San Leandro,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
19,Valley Care Medical Center ,hospital, Pleasanton,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
20,Washington Hospital ,hospital, Fremont,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
21,Sutter Amador Hospital ,hospital, Jackson,CA,Amador County,50.0,6.0,5.0,0.0,0.0,0.0,Amador County
22,County Hospital,hospital,,CA,Alpine County,50.0,6.0,3.0,0.0,0.0,0.0,Alpine County
23,Biggs-Gridley Memorial Hospital,hospital,,CA,Butte County,50.0,6.0,7.0,0.0,0.0,0.0,Butte County
24,Biggs-Gridley Memorial Hospital,hospital,,CA,Butte County,50.0,16.0,23.0,0.0,0.0,0.0,Butte County
25,Biggs-Gridley Memorial Hospital,hospital,,CA,Butte County,50.0,46.0,19.0,0.0,0.0,0.0,Butte County
26,California Park Rehabilitation Hospital,hospital,,CA,Butte County,50.0,6.0,7.0,0.0,0.0,0.0,Butte County
27,California Park Rehabilitation Hospital,hospital,,CA,Butte County,50.0,16.0,23.0,0.0,0.0,0.0,Butte County
28,California Park Rehabilitation Hospital,hospital,,CA,Butte County,50.0,46.0,19.0,0.0,0.0,0.0,Butte County
29,Enloe Medical Center,hospital,,CA,Butte County,50.0,6.0,7.0,0.0,0.0,0.0,Butte County
30,Enloe Medical Center,hospital,,CA,Butte County,50.0,16.0,23.0,0.0,0.0,0.0,Butte County
31,Enloe Medical Center,hospital,,CA,Butte County,50.0,46.0,19.0,0.0,0.0,0.0,Butte County
32,Feather River Hospital,hospital,,CA,Butte County,50.0,6.0,7.0,0.0,0.0,0.0,Butte County
33,Feather River Hospital,hospital,,CA,Butte County,50.0,16.0,23.0,0.0,0.0,0.0,Butte County
34,Feather River Hospital,hospital,,CA,Butte County,50.0,46.0,19.0,0.0,0.0,0.0,Butte County
35,Oroville Hospital,hospital,,CA,Butte County,50.0,6.0,7.0,0.0,0.0,0.0,Butte County
36,Oroville Hospital,hospital,,CA,Butte County,50.0,16.0,23.0,0.0,0.0,0.0,Butte County
37,Oroville Hospital,hospital,,CA,Butte County,50.0,46.0,19.0,0.0,0.0,0.0,Butte County
38,Mark Twain St. Joseph Hospital,hospital,,CA,Calaveras County,50.0,6.0,9.0,0.0,0.0,0.0,Calaveras County
39,Colusa Regional Medical Center,hospital,,CA,Colusa County,50.0,6.0,11.0,0.0,0.0,0.0,Colusa County
40,Contra Costa Regional Medical Center ,hospital, Martinez,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
41,Delta Memorial Hospital (now Sutter Delta Medical Center),hospital,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
42,Doctors Medical Center Pinole Campus ,hospital, Pinole,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
43,Guardian Rehabilitation Hospital,hospital,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
44,John Muir Medical Center ,hospital, Concord (formerly Mt. Diablo Medical Center),CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
45,John Muir Medical Center ,hospital, Walnut Creek,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
46,Kaiser Foundation Hospital ,hospital, Martinez,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
47,Kaiser Foundation Hospital ,hospital, Richmond,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
48,Kaiser Foundation Hospital ,hospital, Walnut Creek,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
49,Kaiser Medical Center ,hospital, Pinole,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
50,Los Medanos Community Hospital,hospital,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
51,San Ramon Regional Medical Center ,hospital, San Ramon,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
52,Sutter Delta Medical Center ,hospital, Antioch,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
53,Sutter Coast Hospital,hospital,,CA,Del Norte County,50.0,6.0,15.0,0.0,0.0,0.0,Del Norte County
54,Barton Memorial Hospital,hospital,,CA,El Dorado County,50.0,6.0,17.0,0.0,0.0,0.0,El Dorado County
55,Marshall Hospital,hospital,,CA,El Dorado County,50.0,6.0,17.0,0.0,0.0,0.0,El Dorado County
56,Coalinga Regional Medical Center ,hospital, Coalinga,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
57,Coalinga State Hospital ,hospital, Coalinga (state run psychiatric hospital),CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
58,Community Medical Center-Clovis ,hospital, Clovis,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
59,Community Regional Medical Center ,hospital, Fresno,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
60,Fresno Heart & Surgical Hospital ,hospital, Fresno (part of Community Medical Centers),CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
61,Fresno Surgical Hospital ,hospital, Fresno,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
62,Kaiser Foundation Hospital ,hospital, Fresno,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
63,Kingsburg Medical Center ,hospital, Kingsburg (closed),CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
64,Saint Agnes Medical Center ,hospital, Fresno,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
65,San Joaquin Valley Rehabilitation Hospital,hospital,,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
66,Sanger General Hospital ,hospital, Sanger (closed),CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
67,Selma Community Hospital ,hospital, Selma,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
68,Sierra Kings Hospital ,hospital, Reedley (acquired by Adventist Health and renamed Adventist Medical Center ,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
69,Glenn Medical Center,hospital,,CA,Glenn County,50.0,6.0,21.0,0.0,0.0,0.0,Glenn County
70,Jerold Phelps Community Hospital ,hospital, Garberville,CA,Humboldt County,50.0,6.0,23.0,0.0,0.0,0.0,Humboldt County
71,Jerold Phelps Community Hospital ,hospital, Garberville,CA,Humboldt County,50.0,19.0,91.0,0.0,0.0,0.0,Humboldt County
72,Jerold Phelps Community Hospital ,hospital, Garberville,CA,Humboldt County,50.0,32.0,13.0,0.0,0.0,0.0,Humboldt County
73,Mad River Community Hospital ,hospital, Arcata,CA,Humboldt County,50.0,6.0,23.0,0.0,0.0,0.0,Humboldt County
74,Mad River Community Hospital ,hospital, Arcata,CA,Humboldt County,50.0,19.0,91.0,0.0,0.0,0.0,Humboldt County
75,Mad River Community Hospital ,hospital, Arcata,CA,Humboldt County,50.0,32.0,13.0,0.0,0.0,0.0,Humboldt County
76,Redwood Memorial Hospital ,hospital, Fortuna (owned by St. Joseph Health System),CA,Humboldt County,50.0,6.0,23.0,0.0,0.0,0.0,Humboldt County
77,Redwood Memorial Hospital ,hospital, Fortuna (owned by St. Joseph Health System),CA,Humboldt County,50.0,19.0,91.0,0.0,0.0,0.0,Humboldt County
78,Redwood Memorial Hospital ,hospital, Fortuna (owned by St. Joseph Health System),CA,Humboldt County,50.0,32.0,13.0,0.0,0.0,0.0,Humboldt County
79,St. Joseph Hospital ,hospital, Eureka (includes the General Hospital Campus and Rehabilitation Hospital),CA,Humboldt County,50.0,6.0,23.0,0.0,0.0,0.0,Humboldt County
80,St. Joseph Hospital ,hospital, Eureka (includes the General Hospital Campus and Rehabilitation Hospital),CA,Humboldt County,50.0,19.0,91.0,0.0,0.0,0.0,Humboldt County
81,St. Joseph Hospital ,hospital, Eureka (includes the General Hospital Campus and Rehabilitation Hospital),CA,Humboldt County,50.0,32.0,13.0,0.0,0.0,0.0,Humboldt County
82,Calexico Health Center - Urgent Care,hospital,,CA,Imperial County,50.0,6.0,25.0,0.0,0.0,0.0,Imperial County
83,El Centro Regional Medical Center,hospital,,CA,Imperial County,50.0,6.0,25.0,0.0,0.0,0.0,Imperial County
84,Pioneers Memorial Hospital,hospital,,CA,Imperial County,50.0,6.0,25.0,0.0,0.0,0.0,Imperial County
85,Northern Inyo Hospital,hospital,,CA,Inyo County,50.0,6.0,27.0,0.0,0.0,0.0,Inyo County
86,Southern Inyo Hospital,hospital,,CA,Inyo County,50.0,6.0,27.0,0.0,0.0,0.0,Inyo County
87,Bakersfield Heart Hospital ,hospital, Bakersfield,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
88,Bakersfield Memorial Hospital ,hospital, Bakersfield,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
89,Delano Regional Medical Center ,hospital, Delano,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
90,Kern Medical Center ,hospital, Bakersfield,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
91,Kern Valley ,hospital, Lake Isabella,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
92,Mercy Hospital Bakersfield (formerly named Mercy Truxton),hospital,,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
93,Mercy Southwest ,hospital, Bakersfield,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
94,Ridgecrest Regional Hospital ,hospital, Ridgecrest,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
95,San Joaquin Medical Center ,hospital, Bakersfield,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
96,Adventist Medical Center ,hospital, Hanford,CA,Kings County,50.0,6.0,31.0,0.0,0.0,0.0,Kings County
97,Adventist Medical Center ,hospital, Hanford,CA,Kings County,50.0,36.0,47.0,0.0,0.0,0.0,Kings County
98,Central Valley General Hospital,hospital,,CA,Kings County,50.0,6.0,31.0,0.0,0.0,0.0,Kings County
99,Central Valley General Hospital,hospital,,CA,Kings County,50.0,36.0,47.0,0.0,0.0,0.0,Kings County
100,Corcoran District Hospital,hospital,,CA,Kings County,50.0,6.0,31.0,0.0,0.0,0.0,Kings County
101,Corcoran District Hospital,hospital,,CA,Kings County,50.0,36.0,47.0,0.0,0.0,0.0,Kings County
102,Naval Hospital Lemoore,hospital,,CA,Kings County,50.0,6.0,31.0,0.0,0.0,0.0,Kings County
103,Naval Hospital Lemoore,hospital,,CA,Kings County,50.0,36.0,47.0,0.0,0.0,0.0,Kings County
104,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,6.0,33.0,0.0,0.0,0.0,Lake County
105,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,8.0,65.0,0.0,0.0,0.0,Lake County
106,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,12.0,69.0,0.0,0.0,0.0,Lake County
