,Business Name,Category,City,Others,Phone,Ratings,State,County,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
0,Safeway,grocery,Ketchikan,Ketchikan Plaza,(907) 228-1900,,AK,Ketchikan Gateway County,,,,,,,
1,Safeway,grocery,Apache Junction,,(480) 982-6120,,AZ,Pinal County,50.0,4.0,21.0,0.0,0.0,0.0,Pinal County
2,Safeway,grocery,Bullhead City,,(928) 763-3555,,AZ,Mohave County,50.0,4.0,15.0,0.0,0.0,0.0,Mohave County
3,Safeway,grocery,Chandler,,(480) 726-7776,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
4,Safeway,grocery,Chandler,,(480) 883-0255,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
5,Safeway,grocery,Cottonwood,,(928) 634-3711,,AZ,Yavapai County,50.0,4.0,25.0,0.0,0.0,0.0,Yavapai County
6,Safeway,grocery,Kingman,,(928) 753-2943,,AZ,Mohave County,50.0,4.0,15.0,0.0,0.0,0.0,Mohave County
7,Safeway,grocery,Kingman,,(928) 681-4900,,AZ,Mohave County,50.0,4.0,15.0,0.0,0.0,0.0,Mohave County
8,Safeway,grocery,Mesa,,(480) 833-9338,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
9,Safeway,grocery,Mesa,Stonebridge Plaza,(480) 807-0447,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
10,Safeway,grocery,Mesa,,(480) 281-2972,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
11,Safeway,grocery,Payson,,(928) 472-8208,,AZ,Gila County,50.0,4.0,7.0,0.0,0.0,0.0,Gila County
12,Safeway,grocery,Phoenix,,(602) 252-4538,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
13,Safeway,grocery,Phoenix,Plaza Mountainside,(480) 759-9611,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
14,Safeway,grocery,Prescott,,(928) 778-3086,,AZ,Yavapai County,50.0,4.0,25.0,0.0,0.0,0.0,Yavapai County
15,Safeway,grocery,Prescott Valley,,(928) 772-6126,,AZ,Yavapai County,50.0,4.0,25.0,0.0,0.0,0.0,Yavapai County
16,Safeway,grocery,Queen Creek,,(480) 279-2733,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
17,Safeway,grocery,Scottsdale,,(480) 391-1090,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
18,Safeway,grocery,Show Low,,(928) 532-5656,,AZ,Navajo County,50.0,4.0,17.0,0.0,0.0,0.0,Navajo County
19,Safeway,grocery,Tucson,,(520) 206-9047,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
20,Safeway,grocery,Tucson,,(520) 624-8442,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
21,Safeway,grocery,Tucson,,(520) 327-2287,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
22,Safeway,grocery,Tucson,,(520) 575-0949,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
23,Safeway,grocery,Tucson,,(520) 792-0083,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
24,Safeway,grocery,Tucson,,(520) 299-3534,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
25,Safeway,grocery,Tucson,Rita Ranch Shopping Center,(520) 663-0009,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
26,Safeway,grocery,Tucson,,(520) 579-8365,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
27,Safeway,grocery,Tucson,Thornydale Plaza,(520) 579-1083,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
28,Safeway,grocery,Tucson,Silverado Plaza,(520) 885-7777,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
29,Safeway,grocery,Albany,,(510) 525-4107,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
30,Safeway,grocery,Anderson,,(530) 365-6401,,CA,Shasta County,50.0,6.0,89.0,0.0,0.0,0.0,Shasta County
31,Safeway,grocery,Antioch,Crossings Shopping Center,(925) 706-4150,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
32,Safeway Photo Center,grocery,Antioch,,,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
33,Safeway,grocery,Aptos,,(831) 688-2775,,CA,Santa Cruz County,50.0,4.0,23.0,0.0,0.0,0.0,Santa Cruz County
34,Safeway,grocery,Aptos,,(831) 688-2775,,CA,Santa Cruz County,50.0,6.0,87.0,0.0,0.0,0.0,Santa Cruz County
35,Safeway,grocery,Auburn,,(530) 887-3230,,CA,Placer County,50.0,6.0,61.0,0.0,0.0,0.0,Placer County
36,Safeway,grocery,Bay Point,Oak Hills Shopping Center,(925) 458-0181,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
37,Safeway,grocery,Berkeley,,(510) 526-3086,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
38,Safeway Community Markets,grocery,Berkeley,,(510) 841-7942,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
39,Safeway Pharmacy,grocery,Berkeley,,(510) 542-5242,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
40,Safeway,grocery,Brentwood,Balfour Village,(925) 626-6020,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
41,Safeway,grocery,Brentwood,Town Centre Plaza,(925) 634-6780,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
42,Safeway Photo Center,grocery,Brentwood,,,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
43,Safeway,grocery,Carmel-By-The-Sea,The Crossroads Carmel,(831) 625-8820,,CA,Monterey County,50.0,6.0,53.0,0.0,0.0,0.0,Monterey County
44,Safeway,grocery,Carmel-By-The-Sea,Mid Valley Shopping Center,(831) 624-4600,,CA,Monterey County,50.0,6.0,53.0,0.0,0.0,0.0,Monterey County
45,Safeway,grocery,Chico,,(530) 895-6300,,CA,Butte County,50.0,6.0,7.0,0.0,0.0,0.0,Butte County
46,Safeway,grocery,Chico,,(530) 895-6300,,CA,Butte County,50.0,16.0,23.0,0.0,0.0,0.0,Butte County
47,Safeway,grocery,Chico,,(530) 895-6300,,CA,Butte County,50.0,46.0,19.0,0.0,0.0,0.0,Butte County
48,Safeway,grocery,Clayton,,(925) 672-2135,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
49,Safeway Photo Center,grocery,Clayton,,,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
50,Safeway,grocery,Concord,,(925) 689-3240,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
51,Safeway,grocery,Corning,,(530) 824-2467,,CA,Tehama County,50.0,6.0,103.0,0.0,0.0,0.0,Tehama County
52,Safeway,grocery,Cupertino,Homestead Square Shopping Center,(408) 253-0112,,CA,Santa Clara County,50.0,6.0,85.0,0.0,0.0,0.0,Santa Clara County
53,Safeway,grocery,Danville,Tassajara Crossing,(925) 736-0298,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
54,Safeway Photo Center,grocery,Danville,,,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
55,Safeway Pharmacy,grocery,Danville,,(925) 736-0346,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
56,Safeway,grocery,Davis,Oakshade Town Center,(530) 792-8500,,CA,Yolo County,50.0,6.0,113.0,0.0,0.0,0.0,Yolo County
57,Safeway,grocery,Davis,The Marketplace,(530) 757-4540,,CA,Yolo County,50.0,6.0,113.0,0.0,0.0,0.0,Yolo County
58,Safeway,grocery,Del Rey Oaks,,(831) 393-2090,,CA,Monterey County,50.0,6.0,53.0,0.0,0.0,0.0,Monterey County
59,Safeway,grocery,Discovery Bay,Sandy Cove Shopping Center,(925) 626-6000,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
60,Safeway Photo Center,grocery,Discovery Bay,,,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
61,Safeway Liquor,grocery,Discovery Bay,,,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
62,Safeway,grocery,Dixon,Dixon Plaza,(707) 678-7400,,CA,Solano County,50.0,6.0,95.0,0.0,0.0,0.0,Solano County
