,Business Name,Category,City,Others,Phone,Ratings,State,County,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
0,Trader Joe's,grocery,Scottsdale,Lincoln Village Shopping Center,(480) 948-9886,,AZ,Maricopa County,50.0,4.0,13.0,0.0,0.0,0.0,Maricopa County
1,Trader Joe's,grocery,Tucson,,(520) 323-4500,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
2,Trader Joe's,grocery,Tucson,,(520) 733-1313,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
3,Trader Joe's,grocery,Tucson,,(520) 325-0069,,AZ,Pima County,50.0,4.0,19.0,0.0,0.0,0.0,Pima County
4,Trader Joe's,grocery,Agoura Hills,,(818) 865-8217,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
5,Trader Joe's,grocery,Alameda,Alameda South Shore Center,(510) 769-5450,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
6,Trader Joe's,grocery,Bakersfield,Town and Country Village,(661) 837-8863,,CA,Kern County,50.0,6.0,29.0,0.0,0.0,0.0,Kern County
7,Trader Joe's,grocery,Berkeley,,(510) 204-9074,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
8,Trader Joe's,grocery,Brentwood,Lone Tree Plaza,(925) 516-3044,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
9,Trader Joe's,grocery,Burbank,,(818) 848-4299,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
10,Trader Joe's,grocery,Camarillo,Carmen Plaza,(805) 388-1925,,CA,Ventura County,50.0,6.0,111.0,0.0,0.0,0.0,Ventura County
11,Trader Joe's,grocery,Castro Valley,,(510) 538-2738,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
12,Trader Joe's,grocery,Chino Hills,The Shoppes at Chino Hills,(909) 627-1404,,CA,San Bernardino County,50.0,6.0,71.0,0.0,0.0,0.0,San Bernardino County
13,Trader Joe's,grocery,Clovis,,(559) 325-3120,,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
14,Trader Joe's,grocery,Concord,Oak Grove Plaza,(925) 521-1134,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
15,Trader Joe's,grocery,Concord,Heritage Square,(925) 689-2990,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
16,Trader Joe's,grocery,Daly City,Westlake Shopping Center,(650) 755-3825,,CA,San Mateo County,50.0,6.0,81.0,0.0,0.0,0.0,San Mateo County
17,Trader Joe's,grocery,Davis,University Mall,(530) 757-2693,,CA,Yolo County,50.0,6.0,113.0,0.0,0.0,0.0,Yolo County
18,Trader Joe's,grocery,El Cerrito,El Cerrito Plaza,(510) 524-7609,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
19,Trader Joe's,grocery,Emeryville,Powell Street Plaza,(510) 658-8091,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
20,Trader Joe's,grocery,Encinitas,Encinitas Village Shopping Center,(760) 634-2114,,CA,San Diego County,50.0,6.0,73.0,0.0,0.0,0.0,San Diego County
21,Trader Joe's,grocery,Escondido,,(760) 233-4020,,CA,San Diego County,50.0,6.0,73.0,0.0,0.0,0.0,San Diego County
22,Trader Joe's,grocery,Fair Oaks,Quail Pointe Shopping Center,(916) 863-1744,,CA,Sacramento County,50.0,6.0,67.0,0.0,0.0,0.0,Sacramento County
23,Trader Joe's,grocery,Folsom,,(916) 817-8820,,CA,Sacramento County,50.0,6.0,67.0,0.0,0.0,0.0,Sacramento County
24,Trader Joe's,grocery,Fresno,,(559) 433-6478,,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
25,Trader Joe's,grocery,Glendale,,(818) 507-8192,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
26,Trader Joe's,grocery,Goleta,Calle Real Shopping Center,(805) 692-2234,,CA,Santa Barbara County,50.0,6.0,83.0,0.0,0.0,0.0,Santa Barbara County
27,Trader Joe's,grocery,Huntington Beach,5 Points Plaza,(714) 848-9640,,CA,Orange County,50.0,6.0,59.0,0.0,0.0,0.0,Orange County
28,Trader Joe's,grocery,Huntington Beach,5 Points Plaza,(714) 848-9640,,CA,Orange County,50.0,12.0,95.0,0.0,0.0,0.0,Orange County
29,Trader Joe's,grocery,Huntington Beach,5 Points Plaza,(714) 848-9640,,CA,Orange County,50.0,18.0,117.0,0.0,0.0,0.0,Orange County
30,Trader Joe's,grocery,Huntington Beach,5 Points Plaza,(714) 848-9640,,CA,Orange County,50.0,36.0,71.0,0.0,0.0,0.0,Orange County
31,Trader Joe's,grocery,Huntington Beach,5 Points Plaza,(714) 848-9640,,CA,Orange County,50.0,37.0,135.0,0.0,0.0,0.0,Orange County
32,Trader Joe's,grocery,Huntington Beach,5 Points Plaza,(714) 848-9640,,CA,Orange County,50.0,48.0,361.0,0.0,0.0,0.0,Orange County
33,Trader Joe's,grocery,Huntington Beach,5 Points Plaza,(714) 848-9640,,CA,Orange County,50.0,50.0,17.0,0.0,0.0,0.0,Orange County
34,Trader Joe's,grocery,Huntington Beach,5 Points Plaza,(714) 848-9640,,CA,Orange County,50.0,51.0,137.0,0.0,0.0,0.0,Orange County
35,Trader Joe's,grocery,Huntington Beach,Huntington Harbour Mall,(714) 846-7307,,CA,Orange County,50.0,6.0,59.0,0.0,0.0,0.0,Orange County
36,Trader Joe's,grocery,Huntington Beach,Huntington Harbour Mall,(714) 846-7307,,CA,Orange County,50.0,12.0,95.0,0.0,0.0,0.0,Orange County
37,Trader Joe's,grocery,Huntington Beach,Huntington Harbour Mall,(714) 846-7307,,CA,Orange County,50.0,18.0,117.0,0.0,0.0,0.0,Orange County
38,Trader Joe's,grocery,Huntington Beach,Huntington Harbour Mall,(714) 846-7307,,CA,Orange County,50.0,36.0,71.0,0.0,0.0,0.0,Orange County
39,Trader Joe's,grocery,Huntington Beach,Huntington Harbour Mall,(714) 846-7307,,CA,Orange County,50.0,37.0,135.0,0.0,0.0,0.0,Orange County
40,Trader Joe's,grocery,Huntington Beach,Huntington Harbour Mall,(714) 846-7307,,CA,Orange County,50.0,48.0,361.0,0.0,0.0,0.0,Orange County
41,Trader Joe's,grocery,Huntington Beach,Huntington Harbour Mall,(714) 846-7307,,CA,Orange County,50.0,50.0,17.0,0.0,0.0,0.0,Orange County
42,Trader Joe's,grocery,Huntington Beach,Huntington Harbour Mall,(714) 846-7307,,CA,Orange County,50.0,51.0,137.0,0.0,0.0,0.0,Orange County
43,Trader Joe's,grocery,Long Beach,Market Place Long Beach,(562) 596-4388,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
44,Trader Joe's,grocery,Los Angeles,8000 Sunset,(323) 822-7663,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
45,Trader Joe's,grocery,Los Angeles,,(310) 824-1495,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
46,Trader Joe's,grocery,Los Angeles,,(310) 836-2458,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
47,Trader Joe's,grocery,Los Angeles,,(310) 477-5949,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
48,Trader Joe's,grocery,Manhattan Beach,,(310) 372-1274,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
49,Trader Joe's,grocery,Monrovia,Huntington Oaks Center,(626) 358-8884,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
50,Trader Joe's Corporate Offices,grocery,Monrovia,,(626) 599-3700,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
51,Trader Joe's,grocery,Monterey,,(831) 372-2010,,CA,Monterey County,50.0,6.0,53.0,0.0,0.0,0.0,Monterey County
52,Trader Joe's,grocery,Mountain View,San Antonio Center,(650) 917-1013,,CA,Santa Clara County,50.0,6.0,85.0,0.0,0.0,0.0,Santa Clara County
53,Trader Joe's,grocery,Napa,Bel Air Plaza,(707) 256-0806,,CA,Napa County,50.0,6.0,55.0,0.0,0.0,0.0,Napa County
54,Trader Joe's,grocery,Oakland,,(510) 923-9428,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
55,Trader Joe's,grocery,Oakland,,(510) 238-9076,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
56,Trader Joe's,grocery,Oceanside,Fire Mountain Center,(760) 433-9994,,CA,San Diego County,50.0,6.0,73.0,0.0,0.0,0.0,San Diego County
57,Trader Joe's,grocery,Pasadena,,(626) 568-9254,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
58,Trader Joe's,grocery,Pasadena,The Shops On Lake Avenue,(626) 395-9553,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
59,Trader Joe's,grocery,Pinole,,(510) 222-3501,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
60,Trader Joe's,grocery,Pleasanton,Rose Pavilion,(925) 468-0763,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
61,Trader Joe's,grocery,Rancho Cucamonga,Haven Village,(909) 476-1410,,CA,San Bernardino County,50.0,6.0,71.0,0.0,0.0,0.0,San Bernardino County
62,Trader Joe's,grocery,Redondo Beach,Riviera Place Shopping Center,(310) 316-1745,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
63,Trader Joe's,grocery,Riverside,Riverside Plaza,(951) 781-2378,,CA,Riverside County,50.0,6.0,65.0,0.0,0.0,0.0,Riverside County
64,Trader Joe's,grocery,Roseville,Roseville Square Shopping Center,(916) 784-9084,,CA,Placer County,50.0,6.0,61.0,0.0,0.0,0.0,Placer County
65,Trader Joe's,grocery,Sacramento,,(916) 456-1853,,CA,Sacramento County,50.0,6.0,67.0,0.0,0.0,0.0,Sacramento County
66,Trader Joe's,grocery,San Clemente,Ocean View Plaza,(949) 240-9996,,CA,Orange County,50.0,6.0,59.0,0.0,0.0,0.0,Orange County
67,Trader Joe's,grocery,San Clemente,Ocean View Plaza,(949) 240-9996,,CA,Orange County,50.0,12.0,95.0,0.0,0.0,0.0,Orange County
68,Trader Joe's,grocery,San Clemente,Ocean View Plaza,(949) 240-9996,,CA,Orange County,50.0,18.0,117.0,0.0,0.0,0.0,Orange County
69,Trader Joe's,grocery,San Clemente,Ocean View Plaza,(949) 240-9996,,CA,Orange County,50.0,36.0,71.0,0.0,0.0,0.0,Orange County
70,Trader Joe's,grocery,San Clemente,Ocean View Plaza,(949) 240-9996,,CA,Orange County,50.0,37.0,135.0,0.0,0.0,0.0,Orange County
71,Trader Joe's,grocery,San Clemente,Ocean View Plaza,(949) 240-9996,,CA,Orange County,50.0,48.0,361.0,0.0,0.0,0.0,Orange County
72,Trader Joe's,grocery,San Clemente,Ocean View Plaza,(949) 240-9996,,CA,Orange County,50.0,50.0,17.0,0.0,0.0,0.0,Orange County
73,Trader Joe's,grocery,San Clemente,Ocean View Plaza,(949) 240-9996,,CA,Orange County,50.0,51.0,137.0,0.0,0.0,0.0,Orange County
74,Trader Joe's,grocery,San Diego,,(619) 229-9092,,CA,San Diego County,50.0,6.0,73.0,0.0,0.0,0.0,San Diego County
75,Trader Joe's,grocery,San Dimas,San Dimas Marketplace,(909) 305-4757,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
76,Trader Joe's,grocery,San Francisco,,(415) 536-7801,,CA,San Francisco County,50.0,6.0,75.0,0.0,0.0,0.0,San Francisco County
77,Trader Joe's,grocery,San Francisco,Stonestown Galleria,(415) 665-1835,,CA,San Francisco County,50.0,6.0,75.0,0.0,0.0,0.0,San Francisco County
78,Trader Joe's,grocery,San Francisco,,(415) 351-1013,,CA,San Francisco County,50.0,6.0,75.0,0.0,0.0,0.0,San Francisco County
79,Trader Joe's,grocery,San Francisco,,(415) 346-9964,,CA,San Francisco County,50.0,6.0,75.0,0.0,0.0,0.0,San Francisco County
80,Trader Joe's,grocery,San Francisco,,(415) 292-7665,,CA,San Francisco County,50.0,6.0,75.0,0.0,0.0,0.0,San Francisco County
81,Trader Joe's,grocery,San Luis Obispo,,(805) 783-2780,,CA,San Luis Obispo County,50.0,6.0,79.0,0.0,0.0,0.0,San Luis Obispo County
82,Trader Joe's,grocery,San Rafael,Montecito Plaza,(415) 454-9530,,CA,Marin County,50.0,6.0,41.0,0.0,0.0,0.0,Marin County
83,Trader Joe's,grocery,Santa Ana,Bristol Plaza,(714) 424-9304,,CA,Orange County,50.0,6.0,59.0,0.0,0.0,0.0,Orange County
84,Trader Joe's,grocery,Santa Ana,Bristol Plaza,(714) 424-9304,,CA,Orange County,50.0,12.0,95.0,0.0,0.0,0.0,Orange County
85,Trader Joe's,grocery,Santa Ana,Bristol Plaza,(714) 424-9304,,CA,Orange County,50.0,18.0,117.0,0.0,0.0,0.0,Orange County
86,Trader Joe's,grocery,Santa Ana,Bristol Plaza,(714) 424-9304,,CA,Orange County,50.0,36.0,71.0,0.0,0.0,0.0,Orange County
87,Trader Joe's,grocery,Santa Ana,Bristol Plaza,(714) 424-9304,,CA,Orange County,50.0,37.0,135.0,0.0,0.0,0.0,Orange County
88,Trader Joe's,grocery,Santa Ana,Bristol Plaza,(714) 424-9304,,CA,Orange County,50.0,48.0,361.0,0.0,0.0,0.0,Orange County
