,Business Name,Category,City,Others,Phone,Ratings,State,County,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
0,Whole Foods Market,grocery,Berkeley,,(510) 649-1333,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
1,Whole Foods Market,grocery,Beverly Hills,,(310) 274-3360,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
2,Whole Foods Market,grocery,Campbell,,(408) 371-5000,,CA,Santa Clara County,50.0,6.0,85.0,0.0,0.0,0.0,Santa Clara County
3,Whole Foods Market 365,grocery,Concord,The Veranda,(925) 695-3180,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
4,Whole Foods Market,grocery,Cupertino,,(408) 257-7000,,CA,Santa Clara County,50.0,6.0,85.0,0.0,0.0,0.0,Santa Clara County
5,Whole Foods Market,grocery,Dublin,Persimmon Place,(925) 452-2226,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
6,Whole Foods Market,grocery,Fremont,,(510) 401-5880,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
7,Whole Foods Market,grocery,Fresno,Fig Garden Village Shopping Center,(559) 241-0300,,CA,Fresno County,50.0,6.0,19.0,0.0,0.0,0.0,Fresno County
8,Whole Foods Market,grocery,Glendale,,(818) 548-3695,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
9,Whole Foods Market,grocery,Huntington Beach,Bella Terra,(657) 200-4200,,CA,Orange County,50.0,6.0,59.0,0.0,0.0,0.0,Orange County
10,Whole Foods Market,grocery,Huntington Beach,Bella Terra,(657) 200-4200,,CA,Orange County,50.0,12.0,95.0,0.0,0.0,0.0,Orange County
11,Whole Foods Market,grocery,Huntington Beach,Bella Terra,(657) 200-4200,,CA,Orange County,50.0,18.0,117.0,0.0,0.0,0.0,Orange County
12,Whole Foods Market,grocery,Huntington Beach,Bella Terra,(657) 200-4200,,CA,Orange County,50.0,36.0,71.0,0.0,0.0,0.0,Orange County
13,Whole Foods Market,grocery,Huntington Beach,Bella Terra,(657) 200-4200,,CA,Orange County,50.0,37.0,135.0,0.0,0.0,0.0,Orange County
14,Whole Foods Market,grocery,Huntington Beach,Bella Terra,(657) 200-4200,,CA,Orange County,50.0,48.0,361.0,0.0,0.0,0.0,Orange County
15,Whole Foods Market,grocery,Huntington Beach,Bella Terra,(657) 200-4200,,CA,Orange County,50.0,50.0,17.0,0.0,0.0,0.0,Orange County
16,Whole Foods Market,grocery,Huntington Beach,Bella Terra,(657) 200-4200,,CA,Orange County,50.0,51.0,137.0,0.0,0.0,0.0,Orange County
17,Whole Foods Market,grocery,Irvine,Los Olivos Marketplace | Irvine Spectrum,(949) 777-8500,,CA,Orange County,50.0,6.0,59.0,0.0,0.0,0.0,Orange County
18,Whole Foods Market,grocery,Irvine,Los Olivos Marketplace | Irvine Spectrum,(949) 777-8500,,CA,Orange County,50.0,12.0,95.0,0.0,0.0,0.0,Orange County
19,Whole Foods Market,grocery,Irvine,Los Olivos Marketplace | Irvine Spectrum,(949) 777-8500,,CA,Orange County,50.0,18.0,117.0,0.0,0.0,0.0,Orange County
20,Whole Foods Market,grocery,Irvine,Los Olivos Marketplace | Irvine Spectrum,(949) 777-8500,,CA,Orange County,50.0,36.0,71.0,0.0,0.0,0.0,Orange County
21,Whole Foods Market,grocery,Irvine,Los Olivos Marketplace | Irvine Spectrum,(949) 777-8500,,CA,Orange County,50.0,37.0,135.0,0.0,0.0,0.0,Orange County
22,Whole Foods Market,grocery,Irvine,Los Olivos Marketplace | Irvine Spectrum,(949) 777-8500,,CA,Orange County,50.0,48.0,361.0,0.0,0.0,0.0,Orange County
23,Whole Foods Market,grocery,Irvine,Los Olivos Marketplace | Irvine Spectrum,(949) 777-8500,,CA,Orange County,50.0,50.0,17.0,0.0,0.0,0.0,Orange County
24,Whole Foods Market,grocery,Irvine,Los Olivos Marketplace | Irvine Spectrum,(949) 777-8500,,CA,Orange County,50.0,51.0,137.0,0.0,0.0,0.0,Orange County
25,Whole Foods Market,grocery,Laguna Niguel,Aliso Village Shopping Center,(949) 900-5830,,CA,Orange County,50.0,6.0,59.0,0.0,0.0,0.0,Orange County
26,Whole Foods Market,grocery,Laguna Niguel,Aliso Village Shopping Center,(949) 900-5830,,CA,Orange County,50.0,12.0,95.0,0.0,0.0,0.0,Orange County
27,Whole Foods Market,grocery,Laguna Niguel,Aliso Village Shopping Center,(949) 900-5830,,CA,Orange County,50.0,18.0,117.0,0.0,0.0,0.0,Orange County
28,Whole Foods Market,grocery,Laguna Niguel,Aliso Village Shopping Center,(949) 900-5830,,CA,Orange County,50.0,36.0,71.0,0.0,0.0,0.0,Orange County
29,Whole Foods Market,grocery,Laguna Niguel,Aliso Village Shopping Center,(949) 900-5830,,CA,Orange County,50.0,37.0,135.0,0.0,0.0,0.0,Orange County
30,Whole Foods Market,grocery,Laguna Niguel,Aliso Village Shopping Center,(949) 900-5830,,CA,Orange County,50.0,48.0,361.0,0.0,0.0,0.0,Orange County
31,Whole Foods Market,grocery,Laguna Niguel,Aliso Village Shopping Center,(949) 900-5830,,CA,Orange County,50.0,50.0,17.0,0.0,0.0,0.0,Orange County
32,Whole Foods Market,grocery,Laguna Niguel,Aliso Village Shopping Center,(949) 900-5830,,CA,Orange County,50.0,51.0,137.0,0.0,0.0,0.0,Orange County
33,Whole Foods Market,grocery,Los Angeles,,(310) 826-4433,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
34,Whole Foods Market,grocery,Los Angeles,,(213) 873-4745,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
35,Whole Foods Market,grocery,Los Angeles,,(310) 824-0858,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
36,Whole Foods Market 365,grocery,Los Angeles,,(323) 378-3891,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
37,Whole Foods Market,grocery,Los Angeles,Town and Country Shopping Center,(323) 964-6800,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
38,Whole Foods Market,grocery,Los Gatos,,(408) 358-4434,,CA,Santa Clara County,50.0,6.0,85.0,0.0,0.0,0.0,Santa Clara County
39,Taquería at Whole Foods Market,grocery,Mammoth Lakes,"Amaranth Enjoy Centre,St. Albert, AB, Canada,+1 780-651-7367,Sierra Sundance Whole Foods",(760) 934-8122,,CA,Mono County,50.0,6.0,51.0,0.0,0.0,0.0,Mono County
40,Whole Foods Market,grocery,Napa,Bel Air Plaza,(707) 224-6300,,CA,Napa County,50.0,6.0,55.0,0.0,0.0,0.0,Napa County
41,Whole Foods Market,grocery,Newport Beach,Fashion Island,(949) 999-8572,,CA,Orange County,50.0,6.0,59.0,0.0,0.0,0.0,Orange County
42,Whole Foods Market,grocery,Newport Beach,Fashion Island,(949) 999-8572,,CA,Orange County,50.0,12.0,95.0,0.0,0.0,0.0,Orange County
43,Whole Foods Market,grocery,Newport Beach,Fashion Island,(949) 999-8572,,CA,Orange County,50.0,18.0,117.0,0.0,0.0,0.0,Orange County
44,Whole Foods Market,grocery,Newport Beach,Fashion Island,(949) 999-8572,,CA,Orange County,50.0,36.0,71.0,0.0,0.0,0.0,Orange County
45,Whole Foods Market,grocery,Newport Beach,Fashion Island,(949) 999-8572,,CA,Orange County,50.0,37.0,135.0,0.0,0.0,0.0,Orange County
46,Whole Foods Market,grocery,Newport Beach,Fashion Island,(949) 999-8572,,CA,Orange County,50.0,48.0,361.0,0.0,0.0,0.0,Orange County
47,Whole Foods Market,grocery,Newport Beach,Fashion Island,(949) 999-8572,,CA,Orange County,50.0,50.0,17.0,0.0,0.0,0.0,Orange County
48,Whole Foods Market,grocery,Newport Beach,Fashion Island,(949) 999-8572,,CA,Orange County,50.0,51.0,137.0,0.0,0.0,0.0,Orange County
49,Whole Foods Market,grocery,Oakland,,(510) 834-9800,,CA,Alameda County,50.0,6.0,1.0,0.0,0.0,0.0,Alameda County
50,Whole Foods Market,grocery,Oxnard,The Collection Riverpark,(805) 751-4300,,CA,Ventura County,50.0,6.0,111.0,0.0,0.0,0.0,Ventura County
51,Whole Foods Market,grocery,Pasadena,,(626) 204-2266,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
52,Whole Foods Market,grocery,Sacramento,Arden Plaza Shopping Center,(916) 488-2800,,CA,Sacramento County,50.0,6.0,67.0,0.0,0.0,0.0,Sacramento County
53,Whole Foods Market,grocery,San Diego,,(619) 294-2800,,CA,San Diego County,50.0,6.0,73.0,0.0,0.0,0.0,San Diego County
54,Whole Foods Market,grocery,San Diego,Flower Hill Promenade,(858) 436-9800,,CA,San Diego County,50.0,6.0,73.0,0.0,0.0,0.0,San Diego County
55,Whole Foods Market,grocery,San Francisco,,(415) 618-0066,,CA,San Francisco County,50.0,6.0,75.0,0.0,0.0,0.0,San Francisco County
56,Whole Foods Market,grocery,San Jose,,(408) 207-1126,,CA,Santa Clara County,50.0,6.0,85.0,0.0,0.0,0.0,Santa Clara County
57,Whole Foods Market,grocery,San Jose,,(408) 266-3700,,CA,Santa Clara County,50.0,6.0,85.0,0.0,0.0,0.0,Santa Clara County
58,Whole Foods Market,grocery,San Luis Obispo,,(805) 785-0194,,CA,San Luis Obispo County,50.0,6.0,79.0,0.0,0.0,0.0,San Luis Obispo County
59,Whole Foods Market,grocery,San Mateo,,(650) 358-6900,,CA,San Mateo County,50.0,6.0,81.0,0.0,0.0,0.0,San Mateo County
60,Whole Foods Market,grocery,San Rafael,,(415) 451-6333,,CA,Marin County,50.0,6.0,41.0,0.0,0.0,0.0,Marin County
61,Whole Foods Market,grocery,San Ramon,Shops At Bishop Ranch,(925) 355-9000,,CA,Contra Costa County,50.0,6.0,13.0,0.0,0.0,0.0,Contra Costa County
62,Whole Foods Market,grocery,Santa Barbara,,(805) 837-6959,,CA,Santa Barbara County,50.0,6.0,83.0,0.0,0.0,0.0,Santa Barbara County
63,Whole Foods Market,grocery,Santa Clarita,Valencia Crossroads,(661) 260-2377,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
64,Whole Foods Market,grocery,Santa Monica,,(310) 315-0662,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
65,Whole Foods Market,grocery,Sherman Oaks,,(818) 382-3700,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
