,City,County,State
0,Adak,Aleutians West County,AK
1,Akiachak,Bethel County,AK
2,Akiak,Bethel County,AK
3,Akutan,Aleutians East County,AK
4,Alakanuk,Wade Hampton County,AK
5,Aleknagik,Dillingham County,AK
6,Allakaket,Yukon Koyukuk County,AK
7,Ambler,Northwest Arctic County,AK
8,Anaktuvuk Pass,North Slope County,AK
9,Anchor Point,Kenai Peninsula County,AK
10,Anchorage,Anchorage County,AK
11,Anderson,Denali County,AK
12,Angoon,Skagway Hoonah Angoon County,AK
13,Aniak,Bethel County,AK
14,Anvik,Yukon Koyukuk County,AK
15,Arctic Village,Yukon Koyukuk County,AK
16,Atka,Aleutians West County,AK
17,Atqasuk,North Slope County,AK
18,Auke Bay,Juneau County,AK
19,Barrow,North Slope County,AK
20,Beaver,Yukon Koyukuk County,AK
21,Bethel,Bethel County,AK
22,Bettles Field,Yukon Koyukuk County,AK
23,Big Lake,Matanuska Susitna County,AK
24,Brevig Mission,Nome County,AK
25,Buckland,Northwest Arctic County,AK
26,Cantwell,Denali County,AK
27,Central,Yukon Koyukuk County,AK
28,Chalkyitsik,Yukon Koyukuk County,AK
29,Chefornak,Bethel County,AK
30,Chevak,Wade Hampton County,AK
31,Chicken,Southeast Fairbanks County,AK
32,Chignik,Lake And Peninsula County,AK
33,Chignik Lagoon,Lake And Peninsula County,AK
34,Chignik Lake,Lake And Peninsula County,AK
35,Chitina,Valdez Cordova County,AK
36,Chugiak,Anchorage County,AK
37,Circle,Yukon Koyukuk County,AK
38,Clam Gulch,Kenai Peninsula County,AK
39,Clarks Point,Dillingham County,AK
40,Clear,Denali County,AK
41,Coffman Cove,Prince Wales Ketchikan County,AK
42,Cold Bay,Aleutians East County,AK
43,Cooper Landing,Kenai Peninsula County,AK
44,Copper Center,Valdez Cordova County,AK
45,Cordova,Valdez Cordova County,AK
46,Craig,Prince Wales Ketchikan County,AK
47,Crooked Creek,Bethel County,AK
48,Deering,Northwest Arctic County,AK
49,Delta Junction,Southeast Fairbanks County,AK
50,Denali National Park,Denali County,AK
51,Dillingham,Dillingham County,AK
52,Douglas,Juneau County,AK
53,Dutch Harbor,Aleutians West County,AK
54,Eagle,Southeast Fairbanks County,AK
55,Eagle River,Anchorage County,AK
56,Eek,Bethel County,AK
57,Egegik,Lake And Peninsula County,AK
58,Eielson Afb,Fairbanks North Star County,AK
59,Ekwok,Dillingham County,AK
60,Elfin Cove,Skagway Hoonah Angoon County,AK
61,Elim,Nome County,AK
62,Elmendorf Afb,Anchorage County,AK
63,Emmonak,Wade Hampton County,AK
64,Ester,Fairbanks North Star County,AK
65,Fairbanks,Fairbanks North Star County,AK
66,False Pass,Aleutians East County,AK
67,Flat,Yukon Koyukuk County,AK
68,Fort Richardson,Anchorage County,AK
69,Fort Wainwright,Fairbanks North Star County,AK
70,Fort Yukon,Yukon Koyukuk County,AK
71,Gakona,Valdez Cordova County,AK
72,Galena,Yukon Koyukuk County,AK
73,Gambell,Nome County,AK
74,Girdwood,Anchorage County,AK
75,Glennallen,Valdez Cordova County,AK
76,Goodnews Bay,Bethel County,AK
77,Grayling,Yukon Koyukuk County,AK
78,Gustavus,Skagway Hoonah Angoon County,AK
79,Haines,Haines County,AK
80,Healy,Denali County,AK
81,Holy Cross,Yukon Koyukuk County,AK
82,Homer,Kenai Peninsula County,AK
83,Hoonah,Skagway Hoonah Angoon County,AK
84,Hooper Bay,Wade Hampton County,AK
85,Hope,Kenai Peninsula County,AK
86,Houston,Matanuska Susitna County,AK
87,Hughes,Yukon Koyukuk County,AK
88,Huslia,Yukon Koyukuk County,AK
89,Hydaburg,Prince Wales Ketchikan County,AK
90,Hyder,Prince Wales Ketchikan County,AK
91,Iliamna,Lake And Peninsula County,AK
92,Indian,Anchorage County,AK
93,Juneau,Juneau County,AK
94,Kake,Wrangell Petersburg County,AK
95,Kaktovik,North Slope County,AK
96,Kalskag,Bethel County,AK
97,Kaltag,Yukon Koyukuk County,AK
98,Karluk,Kodiak Island County,AK
99,Kasigluk,Bethel County,AK
100,Kasilof,Kenai Peninsula County,AK
101,Kenai,Kenai Peninsula County,AK
102,Ketchikan,Ketchikan Gateway County,AK
103,Kiana,Northwest Arctic County,AK
104,King Cove,Aleutians East County,AK
105,King Salmon,Lake And Peninsula County,AK
106,Kipnuk,Bethel County,AK
107,Kivalina,Northwest Arctic County,AK
108,Klawock,Prince Wales Ketchikan County,AK
109,Kobuk,Northwest Arctic County,AK
110,Kodiak,Kodiak Island County,AK
111,Kotlik,Wade Hampton County,AK
112,Kotzebue,Northwest Arctic County,AK
113,Koyuk,Nome County,AK
114,Koyukuk,Yukon Koyukuk County,AK
115,Kwethluk,Bethel County,AK
116,Kwigillingok,Bethel County,AK
117,Lake Minchumina,Yukon Koyukuk County,AK
118,Larsen Bay,Kodiak Island County,AK
